-92.2046	-86.0603	-105.779	-200.478	-138.442	-233.792
-106.523	-79.2724	-75.913	-150.718	-147.66	-150.047
-112.42	-100.651	-81.7465	-170.673	-140.105	-126.124
-92.4615	-92.1151	-70.3031	-140.897	-123.737	-95.5213
-89.6687	-84.4019	-69.2246	-117.495	-103.986	-79.3043
-89.8521	-84.4946	-62.4511	-110.804	-94.0195	-87.6066
-85.1285	-82.3973	-60.3371	-121.183	-101.405	-84.36
-72.8359	-79.9427	-50.3121	-109.408	-90.3539	-81.0116
-70.9757	-73.0424	-50.254	-95.9817	-88.369	-65.9182
-65.1398	-76.5148	-52.828	-99.7547	-91.3374	-71.5271
-65.2466	-78.9758	-58.7196	-92.9525	-83.8926	-70.8947
-66.5098	-72.0492	-44.8015	-88.6492	-83.2822	-65.0404
-55.853	-67.8835	-41.9325	-91.7826	-82.6403	-63.6454
-64.8329	-65.1207	-47.8506	-83.7755	-74.8876	-61.4119
-58.3915	-70.0225	-36.024	-89.2584	-72.6293	-68.4757
-60.8175	-67.214	-41.4789	-93.1425	-68.1445	-64.3003
-54.3078	-57.6927	-35.4637	-74.2727	-67.8328	-55.1006
-47.7057	-52.7458	-34.0161	-78.5314	-64.7776	-62.3196
-48.0627	-51.5471	-33.53	-80.6873	-65.8997	-59.1977
-50.8699	-50.0751	-32.3843	-74.1937	-66.0537	-59.4024
-52.6576	-45.8563	-27.6824	-71.0674	-63.2874	-52.4009
-47.4513	-41.8491	-36.5961	-66.9107	-60.6391	-63.5273
-42.1219	-46.0843	-32.8747	-78.9338	-55.4448	-53.6698
-43.6109	-41.7644	-27.6164	-69.0445	-57.0708	-56.642
-39.5096	-43.6691	-33.0086	-70.4972	-57.6293	-52.8598
-45.3298	-38.3357	-32.0762	-57.9521	-55.6521	-49.7393
-49.0881	-42.0299	-26.8923	-76.106	-55.685	-52.3155
-39.4711	-41.0664	-35.848	-64.5685	-51.6062	-47.4368
-39.3759	-40.3031	-30.5262	-70.5054	-54.5015	-44.4496
-47.3673	-34.6099	-26.4053	-56.9863	-52.1141	-57.9424
-49.0264	-36.5242	-30.7591	-62.9802	-51.3547	-44.2546
-38.4192	-50.2294	-41.6148	-62.5879	-68.0382	-67.9485
-39.439	-74.7583	-74.4063	-106.17	-98.6844	-107.688
-52.8142	-89.1121	-96.5013	-67.02	-103.535	-167.368
-86.1801	-94.1724	-108.205	-109.359	-133.246	-199.687
-77.5973	-76.9756	-97.3102	-152.175	-127.83	-204.076
